iter	Cox
199	-314.348628
200	-314.0746953
201	-313.6909376
202	-313.4836411
203	-313.1078134
204	-312.6614506
205	-312.4672174
206	-312.2753347
207	-311.9370599
208	-311.5596638
209	-311.1755264
210	-311.0115792
211	-310.6900319
212	-310.5070145
213	-310.269814
214	-310.0542891
215	-309.8161141
216	-309.5915916
217	-309.4114726
218	-309.0568686
219	-308.7020878
220	-308.5238476
221	-308.2658716
222	-307.8531411
223	-307.5670546
224	-307.2753327
225	-307.1149793
226	-306.9482232
227	-306.6550028
228	-306.3771142
229	-306.2631954
230	-306.0492597
231	-305.8720117
232	-305.6516275
233	-305.3587571
234	-305.040252
235	-304.8348788
236	-304.5525712
237	-304.3458342
238	-303.915275
239	-303.7149568
240	-303.584745
241	-303.2736731
242	-302.9864821
243	-302.7274664
244	-302.4014637
245	-302.2928728
246	-301.9588757
247	-301.7409853
248	-301.5347317
249	-301.4255595
250	-301.1172552
251	-300.9855886
252	-300.7753979
253	-300.5572683
254	-300.2841569
255	-300.1502054
256	-299.9924282
257	-299.8698649
258	-299.6934266
259	-299.5401274
260	-299.4574045
261	-299.1783096
262	-299.0312914
263	-298.9117322
264	-298.5503383
265	-298.4634138
266	-298.235683
267	-298.0358502
268	-297.8638444
269	-297.6059839
270	-297.4581561
271	-297.2669046
272	-297.0635508
273	-296.9365292
274	-296.7787153
275	-296.5592666
276	-296.313395
277	-296.0358253
278	-295.8253028
279	-295.6620699
280	-295.4760281
281	-295.3488238
282	-295.0975822
283	-294.9307907
284	-294.8220114
285	-294.7138467
286	-294.5703909
287	-294.440785
288	-294.2492944
289	-294.0046993
290	-293.8248993
291	-293.7227336
292	-293.5677238
293	-293.4029734
294	-293.2205333
295	-293.0054871
296	-292.6817698
297	-292.3848634
298	-292.1168463
299	-292.0298115
300	-291.9289705
301	-291.6280062
302	-291.501338
303	-291.3302091
304	-291.1439524
305	-291.0051664
306	-290.9561035
307	-290.8554867
308	-290.7960731
309	-290.5574233
310	-290.4556223
311	-290.4079869
312	-290.287717
313	-290.1249293
314	-289.8837975
315	-289.7349482
316	-289.6486236
317	-289.4742816
318	-289.3295715
319	-289.1941325
320	-288.9921443
321	-288.7936738
322	-288.5785474
323	-288.4669571
324	-288.3581798
325	-288.1140131
326	-287.9881215
327	-287.8656679
328	-287.7800508
329	-287.5995971
330	-287.3598489
331	-287.1867949
332	-287.0448078
333	-286.9219677
334	-286.8389127
335	-286.73894
336	-286.6794949
337	-286.5689707
338	-286.4872051
339	-286.3342264
340	-286.1764275
341	-286.0505857
342	-285.8542036
343	-285.5822226
344	-285.4737968
345	-285.441507
346	-285.3356039
347	-285.2421761
348	-285.1887788
349	-284.9676919
350	-284.8341691
351	-284.7431944
352	-284.6970835
353	-284.6028204
354	-284.5323188
355	-284.3720176
356	-284.1522962
357	-284.0357048
358	-283.9614812
359	-283.8854596
360	-283.7794346
361	-283.5482346
362	-283.4512019
363	-283.3836452
364	-283.1338826
365	-283.0500846
366	-282.8948135
367	-282.7960652
368	-282.5693966
369	-282.3856803
370	-282.2246692
371	-282.1414486
372	-282.0770497
373	-282.0125836
374	-281.9449346
375	-281.8674475
376	-281.8593672
377	-281.8303562
378	-281.7547523
379	-281.6889281
380	-281.5104305
381	-281.415074
382	-281.3044485
383	-281.246444
384	-281.1168854
385	-281.0618759
386	-280.9127786
387	-280.8822393
388	-280.7395271
389	-280.7130138
390	-280.7034498
391	-280.6983159
392	-280.5002685
393	-280.4235409
394	-280.3046153
395	-280.1170222
396	-280.0220078
397	-279.9514373
398	-279.7922536
399	-279.7031921
400	-279.5068504
401	-279.3109287
402	-279.1806736
403	-279.1325255
404	-278.8526953
405	-278.7927343
406	-278.6122907
407	-278.3072866
408	-278.2879724
409	-278.1322625
410	-278.0680874
411	-277.9093161
412	-277.7947948
413	-277.71256
414	-277.5654884
415	-277.4659412
416	-277.3828629
417	-277.3737888
418	-277.1626943
419	-277.087855
420	-277.0026037
421	-276.9953976
422	-276.914342
423	-276.8745866
424	-276.7550993
425	-276.6859531
426	-276.5221631
427	-276.3419084
428	-276.2354493
429	-276.1747467
430	-276.0727522
431	-275.9378359
432	-275.8933016
433	-275.844985
434	-275.8400422
435	-275.6657552
436	-275.4715367
437	-275.4478023
438	-275.2860776
439	-275.2429024
440	-275.1776426
441	-275.174436
442	-275.1315511
443	-275.0728958
444	-275.0590504
445	-275.0565195
446	-275.0497887
447	-274.9812934
448	-274.9290557
449	-274.8342034
450	-274.6977332
451	-274.6573605
452	-274.6268977
453	-274.5752983
454	-274.4868648
455	-274.4748277
456	-274.4516482
457	-274.4246399
458	-274.4221658
459	-274.3690758
460	-274.0664397
461	-274.0590192
462	-273.9885012
463	-273.8643573
464	-273.748331
465	-273.6765266
466	-273.611004
467	-273.5870987
468	-273.52467
469	-273.4545921
470	-273.374191
471	-273.3370259
472	-273.2850008
473	-273.2334557
474	-273.2240284
475	-273.0771271
476	-273.0297437
477	-273.0014988
478	-272.897701
479	-272.7440213
480	-272.7001995
481	-272.5850781
482	-272.5446467
483	-272.474271
484	-272.3203988
485	-272.2990391
486	-272.2933665
487	-272.2365008
488	-272.0727605
489	-272.0051686
490	-271.9329371
491	-271.9162001
492	-271.8784103
493	-271.79226
494	-271.6857726
495	-271.6798302
496	-271.6589202
497	-271.6270628
498	-271.615954
499	-271.6100734
